chinese,thai_meaning,category,hsk_level
公函,จดหมายราชการ,,hsk7
公积金,กองทุนสำรองเลี้ยงชีพ,,hsk7
公开信,จดหมายเปิดผนึก,,hsk7
公立,"ของรัฐ, ของสาธารณะ",,hsk7
公墓,สุสานหลวง,,hsk7
公仆,"ข้าราชการ, ผู้รับใช้ประชาชน",,hsk7
公顷,เฮกตาร์ (หน่วยวัดพื้นที่),,hsk7
公示,ประกาศสาธารณะ,,hsk7
公事,"เรื่องงาน, ธุระ",,hsk7
公务,"งานราชการ, งานหลวง, ภารกิจของรัฐ",,hsk7
公益,"สาธารณประโยชน์, การกุศล",,hsk7
公益性,"ความเป็นสาธารณประโยชน์, ลักษณะการกุศล",,hsk7
公用,"สาธารณะ, ใช้ร่วมกัน",,hsk7
公约,"สนธิสัญญา, ข้อตกลง",,hsk7
公证,"การรับรอง, การทำพยาน, การรับรองเอกสาร",,hsk7
公职,"ตำแหน่งราชการ, งานราชการ",,hsk7
功,"คุณความดี, ผลงาน, ความสำเร็จ ; พลัง, กำลัง",,hsk7
功臣,"วีรบุรุษ, ผู้มีคุณูปการ",,hsk7
功底,"พื้นฐานความรู้, ความสามารถ, ทักษะ",,hsk7
功劳,"คุณความดี, ความดีความชอบ, ผลงาน",,hsk7
功力,"พลัง, กำลัง, ความสามารถ",,hsk7
功率,"กำลังไฟฟ้า, วัตต์",,hsk7
功效,"สรรพคุณ, ประสิทธิภาพ, ประโยชน์",,hsk7
攻,"โจมตี, รุก, บุก ; การแข่งขัน (กีฬา)",,hsk7
攻读,"ศึกษาอย่างหนัก, เรียนอย่างเข้มข้น",,hsk7
攻关,"การแก้ปัญหาที่ยากลำบาก, การบุกเบิก",,hsk7
供,"ให้, จัดหา, เสนอ ; การบูชา, การบวงสรวง",,hsk7
供不应求,"อุปสงค์มากกว่าอุปทาน, ขาดแคลน",,hsk7
供奉,"บูชา, บวงสรวง, อุทิศ",,hsk7
供暖,"การทำความร้อน, การให้ความอบอุ่น",,hsk7
供求,อุปสงค์และอุปทาน,,hsk7
宫殿,"พระราชวัง, วัง",,hsk7
宫廷,"ราชสำนัก, วังหลวง",,hsk7
恭维,"ประจบสอพลอ, เยินยอ",,hsk7
恭喜,"ยินดีด้วย, ขอแสดงความยินดี",,hsk7
拱,"โค้งคำนับ, ประนมมือ (ไหว้)",,hsk7
共鸣,"เสียงสะท้อน, ความรู้สึกร่วม, ความเห็นพ้อง",,hsk7
共识,"ฉันทามติ, ความเห็นพ้องต้องกัน",,hsk7
共同体,"ชุมชน, สังคม",,hsk7
共性,"ลักษณะร่วม, ความเหมือน",,hsk7
勾,"ขีด, เส้น ; การวางแผน, การวางโครง",,hsk7
勾画,"วาดภาพ, ร่าง, บรรยาย",,hsk7
勾结,"สมรู้ร่วมคิด, ร่วมมือกัน (ในทางไม่ดี)",,hsk7
钩,"ตะขอ, ขอเกี่ยว",,hsk7
钩子,"ตะขอ, ขอเกี่ยว",,hsk7
构思,"การวางแผน, การคิดโครงเรื่อง",,hsk7
构想,"แนวคิด, ความคิด, จินตนาการ",,hsk7
购,"ซื้อ, จัดซื้อ",,hsk7
够呛,"แย่มาก, หนักหนา, ยากลำบาก",,hsk7
估算,"ประมาณการ, ประเมินค่า",,hsk7
孤立,"โดดเดี่ยว, แยกตัว, ปลีกตัว",,hsk7
孤零零,"โดดเดี่ยว, เปลี่ยวเหงา",,hsk7
孤陋寡闻,"หูเบา, ไม่รู้เรื่องรู้ราว, ขาดความรู้",,hsk7
沽名钓誉,"หาชื่อเสียง, สร้างชื่อเสียง (ในทางไม่ดี)",,hsk7
辜负,"ทำให้ผิดหวัง, ไม่สมหวัง",,hsk7
古董,"ของเก่า, โบราณวัตถุ",,hsk7
古怪,"แปลกประหลาด, พิลึก",,hsk7
古今中外,"โบราณและปัจจุบัน, จีนและต่างประเทศ",,hsk7
古朴,"เรียบง่าย, ดั้งเดิม, โบราณ",,hsk7
古人,"คนสมัยก่อน, บรรพชน",,hsk7
股份,"หุ้น, ส่วนแบ่ง",,hsk7
股民,ผู้ถือหุ้น,,hsk7
股市,ตลาดหุ้น,,hsk7
骨干,"แกนหลัก, บุคลากรสำคัญ",,hsk7
鼓动,"ปลุกระดม, ยุยง",,hsk7
鼓舞,"ปลุกใจ, ให้กำลังใจ, สร้างแรงบันดาลใจ",,hsk7
固然,"แม้ว่า, ถึงแม้ว่า",,hsk7
故,"ดังนั้น, เพราะฉะนั้น ; เรื่องราว, เหตุการณ์ ; ตาย (คำโบราณ)",,hsk7
顾不得,"ไม่ทัน, ไม่มีเวลาพอ",,hsk7
顾不上,"ไม่ทัน, ไม่มีเวลาพอ",,hsk7
顾及,"คำนึงถึง, ใส่ใจ, พิจารณา",,hsk7
顾虑,"ความกังวล, ความห่วงใย, ข้อสงสัย",,hsk7
顾全大局,"รักษาภาพรวม, คำนึงถึงส่วนรวม",,hsk7
雇,"จ้าง, เช่า",,hsk7
雇佣,"จ้างงาน, จ้าง",,hsk7
雇员,"ลูกจ้าง, พนักงาน",,hsk7
雇主,นายจ้าง,,hsk7
瓜分,"แบ่งปัน, แบ่งส่วน",,hsk7
瓜子,เมล็ดทานตะวัน,,hsk7
寡妇,แม่ม่าย,,hsk7
挂钩,"เชื่อมโยง, ติดต่อกัน",,hsk7
挂念,"คิดถึง, ห่วงใย",,hsk7
乖,"เชื่อฟัง, ว่านอนสอนง่าย ; น่ารัก (เด็ก)",,hsk7
乖巧,"น่ารัก, ว่านอนสอนง่าย",,hsk7
拐弯,"เลี้ยว, อ้อม",,hsk7
拐杖,ไม้เท้า,,hsk7
怪不得,"ไม่น่าแปลกใจ, สมแล้วที่...",,hsk7
怪物,"สัตว์ประหลาด, ปีศาจ",,hsk7
怪异,"แปลกประหลาด, พิสดาร",,hsk7
关掉,"ปิด (ไฟ, เครื่องใช้ไฟฟ้า)",,hsk7
关税,"ภาษีศุลกากร, อากรขาเข้า",,hsk7
关头,"ช่วงเวลาสำคัญ, จุดเปลี่ยน",,hsk7
关照,"ดูแล, เอาใจใส่, ช่วยเหลือ",,hsk7
观测,"สังเกตการณ์, เฝ้าดู",,hsk7
观感,"ความรู้สึก, การรับรู้",,hsk7
观摩,"ชม, ดูเพื่อการศึกษา",,hsk7
观赏,"ชม, ดูเพื่อความบันเทิง",,hsk7
观望,"เฝ้าดู, รอโอกาส",,hsk7
官兵,ทหารและเจ้าหน้าที่,,hsk7
官吏,"ข้าราชการ, เจ้าหน้าที่",,hsk7
官僚,"ระบบราชการ, ข้าราชการ",,hsk7
官僚主义,"ระบบราชการ, การทำงานแบบระบบราชการ",,hsk7
棺材,โลงศพ,,hsk7
管教,"อบรม, สั่งสอน, ควบคุม",,hsk7
管理费,ค่าบริหารจัดการ,,hsk7
管辖,"เขตอำนาจ, การปกครอง, การดูแล",,hsk7
管用,"ได้ผล, มีประโยชน์",,hsk7
管子,"ท่อ, หลอด",,hsk7
贯彻,"ดำเนินตาม, ปฏิบัติตาม, บรรลุผล",,hsk7
贯通,"เชื่อมโยง, เข้าใจอย่างถ่องแท้",,hsk7
惯,"เคยชิน, เป็นนิสัย",,hsk7
惯例,"ธรรมเนียม, ประเพณี, ข้อปฏิบัติ",,hsk7
惯性,แรงเฉื่อย,,hsk7
灌,"เท, ราด, กรอก",,hsk7
灌溉,"ชลประทาน, การทดน้ำ",,hsk7
灌输,"การปลูกฝัง, การถ่ายทอด (ความคิด, ความรู้)",,hsk7
罐,"กระป๋อง, ถัง",,hsk7
罐头,อาหารกระป๋อง,,hsk7
光彩,"ความสดใส, ความเจิดจ้า, ความรุ่งโรจน์",,hsk7
光碟,"แผ่นซีดี, แผ่นดิสก์",,hsk7
光顾,"มาอุดหนุน, มาเยือน",,hsk7
光滑,"เรียบเนียน, ลื่น",,hsk7
光环,"รัศมี, ออร่า",,hsk7
光缆,สายเคเบิลใยแก้วนำแสง,,hsk7
光芒,"แสงสว่าง, รัศมี, เปล่งประกาย",,hsk7
光明磊落,"ซื่อสัตย์สุจริต, เปิดเผย",,hsk7
光泽,"ความเงางาม, ความมันวาว",,hsk7
广义,"ความหมายกว้าง, โดยนัย",,hsk7
归根到底,"ท้ายที่สุดแล้ว, โดยสรุป",,hsk7
归还,"คืน, ส่งคืน",,hsk7
归结,"สรุป, ลงเอย",,hsk7
归来,กลับมา,,hsk7
归属,"ความเป็นเจ้าของ, สังกัด",,hsk7
归宿,"ที่อยู่สุดท้าย, บ้านสุดท้าย",,hsk7
龟,เต่า,,hsk7
闺女,ลูกสาว (คำเรียก),,hsk7
瑰宝,"สมบัติล้ำค่า, อัญมณี",,hsk7
轨迹,"เส้นทาง, วิถี, ร่องรอย",,hsk7
柜台,"เคาน์เตอร์, โต๊ะ",,hsk7
贵重,"มีค่า, ล้ำค่า",,hsk7
贵族,"ชนชั้นสูง, ผู้ดี",,hsk7
桂花,ดอกกุ้ยฮวา,,hsk7
滚动,"กลิ้ง, หมุน",,hsk7
棍,"ไม้, ท่อนไม้",,hsk7
棍子,"ไม้, ท่อนไม้",,hsk7
国宝,สมบัติของชาติ,,hsk7
国画,ภาพวาดจีน,,hsk7
国徽,"ตราแผ่นดิน, ตราสัญลักษณ์ของชาติ",,hsk7
国情,"สภาพการณ์ของชาติ, สถานการณ์ของประเทศ",,hsk7
国土,"แผ่นดิน, อาณาเขต",,hsk7
国学,"การศึกษาเกี่ยวกับจีนโบราณ, วิชาการจีน",,hsk7
国有,"ของรัฐ, เป็นของรัฐ",,hsk7
果断,"เด็ดขาด, แน่วแน่",,hsk7
果园,สวนผลไม้,,hsk7
果真,"จริงๆ, เป็นความจริง",,hsk7
裹,"ห่อ, พัน, ม้วน",,hsk7
过半,เกินครึ่ง,,hsk7
过不去,"ผ่านไปไม่ได้, รับมือไม่ได้",,hsk7
过错,"ความผิดพลาด, ข้อผิดพลาด",,hsk7
过关,"ผ่านด่าน, ผ่านอุปสรรค",,hsk7
过奖,"ชมเกินจริง, ยกย่องเกินไป",,hsk7
过节,"ฉลองเทศกาล, เฉลิมฉลอง",,hsk7
过境,"ผ่านแดน, ข้ามพรมแดน",,hsk7
过滤,"กรอง, กรองออก",,hsk7
过期,"หมดอายุ, ล่วงเลยกำหนด",,hsk7
过日子,"ใช้ชีวิต, ดำเนินชีวิต",,hsk7
过剩,"ส่วนเกิน, เหลือเฟือ",,hsk7
过失,"ความผิดพลาด, ข้อผิดพลาด",,hsk7
过头,"มากเกินไป, เกินพอดี",,hsk7
过往,"ที่ผ่านมา, อดีต",,hsk7
过意不去,"รู้สึกผิด, รู้สึกไม่สบายใจ",,hsk7
过瘾,"สะใจ, พอใจ",,hsk7
过早,เร็วเกินไป,,hsk7
还款,การชำระคืนหนี้,,hsk7
还原,"คืนสภาพเดิม, ทำให้กลับเป็นเหมือนเดิม",,hsk7
海岸,"ชายฝั่ง, ชายทะเล",,hsk7
海拔,"ระดับความสูง, ความสูงจากระดับน้ำทะเล",,hsk7
海滨,"ริมทะเล, ชายหาด",,hsk7
海盗,"โจรสลัด, โจรทะเล",,hsk7
海量,"ปริมาณมหาศาล, ข้อมูลจำนวนมาก",,hsk7
海绵,ฟองน้ำ,,hsk7
海面,ผิวน้ำทะเล,,hsk7
海内外,ในประเทศและต่างประเทศ,,hsk7
海滩,ชายหาด,,hsk7
海峡,ช่องแคบ,,hsk7
海啸,"สึนามิ, คลื่นยักษ์",,hsk7
海域,"เขตทะเล, น่านน้ำ",,hsk7
海藻,สาหร่ายทะเล,,hsk7
骇人听闻,"น่าตกใจ, น่าสะพรึงกลัว",,hsk7
害虫,"แมลงศัตรูพืช, ศัตรูพืช",,hsk7
酣畅,"ดื่มด่ำ, สนุกสนานเต็มที่",,hsk7
酣睡,"หลับลึก, หลับสบาย",,hsk7
含糊,"คลุมเครือ, ไม่ชัดเจน",,hsk7
含蓄,"อ้อมค้อม, ไม่ตรงไปตรงมา",,hsk7
函授,"การเรียนทางไกล, การศึกษาทางไปรษณีย์",,hsk7
涵盖,"ครอบคลุม, รวมอยู่",,hsk7
涵义,"ความหมายแฝง, ความหมายลึกซึ้ง",,hsk7
罕见,"หายาก, ไม่ค่อยพบ",,hsk7
汗水,เหงื่อ,,hsk7
旱,ความแห้งแล้ง,,hsk7
旱灾,ภัยแล้ง,,hsk7
捍卫,"ปกป้อง, รักษา",,hsk7
焊,"เชื่อม, บัดกรี",,hsk7
航海,"การเดินเรือ, การเดินทะเล",,hsk7
航天,"การบินอวกาศ, อวกาศ",,hsk7
航天员,นักบินอวกาศ,,hsk7
航行,"การเดินเรือ, การเดินทาง (ทางอากาศ, ทางน้ำ)",,hsk7
航运,"การขนส่งทางน้ำ, การขนส่งทางอากาศ",,hsk7
毫不,"โดยสิ้นเชิง, อย่างสิ้นเชิง",,hsk7
毫不犹豫,ไม่ลังเลเลย,,hsk7
毫无,"โดยสิ้นเชิง, ไม่มีเลย",,hsk7
豪华,"หรูหรา, โอ่อ่า",,hsk7
好比,"เปรียบเหมือน, ดุจดัง",,hsk7
好歹,"ไม่ว่าอย่างไร, อย่างน้อยที่สุด",,hsk7
好感,"ความรู้สึกดี, ความประทับใจ",,hsk7
好坏,ดีหรือไม่ดี,,hsk7
好家伙,"ไอ้หนุ่ม, ไอ้หนู (คำเรียก)",,hsk7
好客,"มีอัธยาศัยดี, ชอบต้อนรับแขก",,hsk7
好评,"คำชม, การตอบรับที่ดี",,hsk7
好说,"พูดง่าย, ไม่เรื่องมาก",,hsk7
好笑,"น่าขำ, น่าหัวเราะ",,hsk7
好心,"ความตั้งใจดี, เจตนาดี",,hsk7
好心人,คนใจดี,,hsk7
好意,"ความตั้งใจดี, เจตนาดี",,hsk7
好在,"โชคดีที่, ดีที่",,hsk7
号称,"อ้างว่า, ขนานนามว่า",,hsk7
浩劫,ภัยพิบัติครั้งใหญ่,,hsk7
耗,"ใช้, สิ้นเปลือง",,hsk7
耗费,"สิ้นเปลือง, ใช้จ่าย",,hsk7
耗时,ใช้เวลา,,hsk7
禾苗,"ต้นกล้า, หน่อ",,hsk7
合唱,การร้องประสานเสียง,,hsk7
合乎,"สอดคล้องกับ, เหมาะสมกับ",,hsk7
合计,"รวม, ยอดรวม",,hsk7
合情合理,"สมเหตุสมผล, มีเหตุผล",,hsk7
合资,ร่วมทุน,,hsk7
合作社,สหกรณ์,,hsk7
何必,"ทำไมต้อง, จำเป็นต้อง",,hsk7
何处,ที่ไหน,,hsk7
何苦,"ทำไมต้องลำบาก, ทำไมต้องทนทุกข์",,hsk7
何况,"ยิ่งไปกว่านั้น, ยิ่งกว่านั้น",,hsk7
何时,เมื่อไหร่,,hsk7
和蔼,"อ่อนโยน, ใจดี",,hsk7
和睦,"สามัคคี, กลมเกลียว",,hsk7
和平共处,การอยู่ร่วมกันอย่างสันติ,,hsk7
和气,"เป็นมิตร, อัธยาศัยดี",,hsk7
和尚,พระภิกษุ,,hsk7
河流,แม่น้ำ,,hsk7
河畔,"ริมแม่น้ำ, ฝั่งแม่น้ำ",,hsk7
核,"นิวเคลียร์, ปรมาณู",,hsk7
核电站,โรงไฟฟ้านิวเคลียร์,,hsk7
核对,"ตรวจสอบ, เปรียบเทียบ",,hsk7
核能,พลังงานนิวเคลียร์,,hsk7
核实,"ตรวจสอบความถูกต้อง, ยืนยัน",,hsk7
核武器,อาวุธนิวเคลียร์,,hsk7
荷花,ดอกบัว,,hsk7
贺电,สาส์นแสดงความยินดี,,hsk7
贺信,จดหมายแสดงความยินดี,,hsk7
赫然,"อย่างฉับพลัน, อย่างน่าตกใจ",,hsk7
鹤立鸡群,โดดเด่นกว่าใคร,,hsk7
黑客,แฮกเกอร์,,hsk7
黑马,ม้ามืด (ผู้ชนะที่คาดไม่ถึง),,hsk7
黑手,"เบื้องหลัง, ผู้บงการ",,hsk7
黑心,"ใจดำ, ไร้ศีลธรรม",,hsk7
嘿,เฮ้ (คำอุทาน),,hsk7
痕迹,"ร่องรอย, รอย",,hsk7
恨不得,อยากจะ...จนทนไม่ไหว,,hsk7
哼,ฮึม (เสียง),,hsk7
横七竖八,"ระเกะระกะ, ไม่เป็นระเบียบ",,hsk7
横向,"แนวนอน, ขวาง",,hsk7
轰,"เสียงดัง, ระเบิด",,hsk7
轰动,"สร้างความฮือฮา, ทำให้เป็นที่กล่าวขวัญ",,hsk7
轰炸,"ทิ้งระเบิด, ทิ้งบอมบ์",,hsk7
哄堂大笑,หัวเราะก๊ากทั้งวง,,hsk7
烘干,อบแห้ง,,hsk7
烘托,"เสริม, เน้น, ทำให้เด่น",,hsk7
弘扬,"เผยแพร่, ส่งเสริม",,hsk7
红火,"รุ่งเรือง, คึกคัก",,hsk7
红扑扑,"แดงปลั่ง, ชมพูระเรื่อ",,hsk7
红润,"แดงระเรื่อ, ผุดผ่อง",,hsk7
红眼,"ตาแดง, อิจฉา",,hsk7
宏观,"ภาพรวม, มหภาค",,hsk7
宏伟,"ยิ่งใหญ่, สง่างาม",,hsk7
洪亮,เสียงดังฟังชัด,,hsk7
吼,"ตะโกน, ร้อง",,hsk7
后备,"สำรอง, เตรียมพร้อม",,hsk7
后备箱,"ท้ายรถ, ที่เก็บสัมภาระ",,hsk7
后代,"รุ่นลูกรุ่นหลาน, ทายาท",,hsk7
后盾,"กำลังหนุน, ผู้สนับสนุน",,hsk7
后顾之忧,"ความกังวลเกี่ยวกับอนาคต, ความห่วงใย",,hsk7
后期,"ระยะหลัง, ขั้นตอนสุดท้าย",,hsk7
后勤,"ฝ่ายส่งกำลังบำรุง, การสนับสนุน",,hsk7
后人,"คนรุ่นหลัง, ผู้สืบทอด",,hsk7
后台,"ฉากหลัง, ผู้สนับสนุน",,hsk7
后退,ถอยหลัง,,hsk7
后续,"ต่อเนื่อง, ตามมา",,hsk7
后遗症,"ผลกระทบระยะยาว, ผลข้างเคียง",,hsk7
后裔,"ทายาท, ผู้สืบสกุล",,hsk7
后者,"อันหลัง, คนที่สอง",,hsk7
厚道,"ใจดี, มีเมตตา",,hsk7
厚度,ความหนา,,hsk7
候选人,"ผู้สมัคร, ผู้ถูกเสนอชื่อ",,hsk7
呼风唤雨,"มีอำนาจวิเศษ, ทำอะไรก็ได้",,hsk7
呼唤,"เรียก, ร้องเรียก",,hsk7
呼救,ขอความช่วยเหลือ,,hsk7
呼声,"เสียงเรียกร้อง, ความนิยม",,hsk7
呼应,"ตอบสนอง, ขานรับ",,hsk7
忽高忽低,ขึ้นๆ ลงๆ,,hsk7
忽悠,"หลอกลวง, ลวงให้เชื่อ",,hsk7
胡闹,"ก่อกวน, ทำเรื่องวุ่นวาย",,hsk7
胡说,"พูดพล่อยๆ, พูดไม่คิด",,hsk7
胡思乱想,"คิดฟุ้งซ่าน, คิดเรื่อยเปื่อย",,hsk7
湖泊,ทะเลสาบ,,hsk7
互补,"เสริมซึ่งกันและกัน, เกื้อกูลกัน",,hsk7
互访,การเยือนซึ่งกันและกัน,,hsk7
互信,ความไว้วางใจซึ่งกันและกัน,,hsk7
互助,ความช่วยเหลือซึ่งกันและกัน,,hsk7
护理,"การพยาบาล, การดูแล",,hsk7
糊,"แป้งเปียก, กาว ; งง, มึน",,hsk7
花瓣,กลีบดอกไม้,,hsk7
花卉,"ดอกไม้, พืชดอก",,hsk7
花纹,"ลวดลาย, ลาย",,hsk7
花样,"รูปแบบ, ลวดลาย, วิธีการ",,hsk7
哗变,"การก่อจลาจล, การกบฏ",,hsk7
哗然,"เสียงอื้ออึง, เสียงดัง",,hsk7
华丽,"หรูหรา, งดงาม",,hsk7
华侨,ชาวจีนโพ้นทะเล,,hsk7
华裔,ชาวจีนเชื้อสายต่างชาติ,,hsk7
滑梯,"สไลเดอร์, กระดานลื่น",,hsk7
滑雪,"สกี, การเล่นสกี",,hsk7
化肥,ปุ๋ยเคมี,,hsk7
化身,"ภาคส่วน, ร่างอวตาร",,hsk7
化纤,เส้นใยสังเคราะห์,,hsk7
化险为夷,"เปลี่ยนอันตรายให้เป็นความปลอดภัย, รอดพ้นจากภัย",,hsk7
化验,"การตรวจทางห้องปฏิบัติการ, การวิเคราะห์",,hsk7
化妆,"แต่งหน้า, แต่งหน้า",,hsk7
划时代,"ยุคสมัยใหม่, ก้าวหน้า",,hsk7
划算,"คุ้มค่า, ได้กำไร",,hsk7
画册,"สมุดภาพ, อัลบั้มภาพ",,hsk7
画龙点睛,"การวาดภาพมังกรให้ตา, การเติมส่วนสำคัญ",,hsk7
画蛇添足,"วาดงูเติมขา, ทำอะไรเกินจำเป็น",,hsk7
画展,นิทรรศการภาพวาด,,hsk7
话费,ค่าโทรศัพท์,,hsk7
话筒,ไมโครโฟน,,hsk7
话语,"คำพูด, ถ้อยคำ",,hsk7
怀抱,"อ้อมกอด, อ้อมแขน ; ความรู้สึก",,hsk7
怀旧,"ความรู้สึกโหยหาอดีต, ความคิดถึงวันเก่า",,hsk7
怀里,"ในอ้อมแขน, ในอ้อมกอด",,hsk7
怀孕,"ตั้งครรภ์, มีลูก",,hsk7
怀着,"ด้วยความรู้สึก, ด้วยเจตนา",,hsk7
槐树,ต้นเข็ม,,hsk7
坏事,"เรื่องร้าย, สิ่งไม่ดี",,hsk7
环球,"ทั่วโลก, ทั่วสากล",,hsk7
环绕,"โอบล้อม, ล้อมรอบ",,hsk7
缓,"ช้า, ค่อยๆ",,hsk7
缓和,"บรรเทา, ผ่อนคลาย",,hsk7
缓缓,"อย่างช้าๆ, ค่อยๆ",,hsk7
缓慢,"ช้า, เนิบนาบ",,hsk7
幻觉,"ภาพหลอน, อาการประสาทหลอน",,hsk7
幻影,"ภาพลวงตา, เงามายา",,hsk7
唤起,"ปลุกเร้า, กระตุ้น",,hsk7
换成,"เปลี่ยนเป็น, แลกเปลี่ยนเป็น",,hsk7
换取,"แลก, ได้มา",,hsk7
换位,"สลับตำแหน่ง, เปลี่ยนบทบาท",,hsk7
换言之,"กล่าวคือ, พูดอีกนัยหนึ่ง",,hsk7
患病,"ป่วย, เป็นโรค",,hsk7
患有,เป็น (โรค),,hsk7
焕发,"เปล่งประกาย, สดใส",,hsk7
欢呼,"โห่ร้อง, ตะโกนยินดี",,hsk7
欢聚,"รวมตัวกัน, สังสรรค์",,hsk7
欢快,"ร่าเริง, สนุกสนาน",,hsk7
欢声笑语,เสียงหัวเราะและเสียงพูดคุยอย่างมีความสุข,,hsk7
荒,"แห้งแล้ง, รกร้าง",,hsk7
荒诞,"ไร้สาระ, เหลวไหล",,hsk7
荒凉,"แห้งแล้ง, เปล่าเปลี่ยว",,hsk7
慌乱,"ตื่นตระหนก, ลนลาน",,hsk7
慌张,"ประหม่า, ตื่นเต้น",,hsk7
皇宫,พระราชวัง,,hsk7
皇后,พระราชินี,,hsk7
皇上,"พระมหากษัตริย์, องค์จักรพรรดิ",,hsk7
皇室,"ราชวงศ์, สถาบันกษัตริย์",,hsk7
黄昏,"พลบค่ำ, ยามเย็น",,hsk7
恍然大悟,"พลันเข้าใจ, ตระหนักได้ทันที",,hsk7
谎话,"คำโกหก, เรื่องโกหก",,hsk7
谎言,"คำโกหก, การโกหก",,hsk7
晃荡,"แกว่งไปมา, ล่องลอย",,hsk7
灰尘,"ฝุ่น, ผง",,hsk7
挥,"โบก, สะบัด",,hsk7
辉煌,"รุ่งโรจน์, สว่างไสว",,hsk7
回归,"กลับคืน, ย้อนกลับ",,hsk7
回馈,"ตอบแทน, ให้กลับคืน",,hsk7
回落,"ลดลง, ตกลง",,hsk7
回升,"เพิ่มขึ้น, สูงขึ้น",,hsk7
回首,"หันกลับไปมอง, ทบทวน",,hsk7
回味,"รสชาติ, ความรู้สึกที่ยังคงอยู่",,hsk7
回想,"หวนนึก, รำลึก",,hsk7
回忆录,"บันทึกความทรงจำ, อนุสรณ์",,hsk7
悔恨,"เสียใจ, เสียดาย",,hsk7
毁坏,"ทำลาย, ทำให้เสียหาย",,hsk7
毁灭,"ทำลายล้าง, พินาศ",,hsk7
汇合,"รวมตัว, พบกัน",,hsk7
汇集,"รวบรวม, สะสม",,hsk7
汇聚,"รวมตัว, หลั่งไหลมารวมกัน",,hsk7
会场,"สถานที่ประชุม, ห้องประชุม",,hsk7
会面,"การพบปะ, การเจอกัน",,hsk7
会晤,การประชุม (ระดับสูง),,hsk7
会意,"เข้าใจความหมาย, เข้าใจเจตนา",,hsk7
会诊,การประชุมร่วมกันเพื่อวินิจฉัยโรค,,hsk7
绘声绘色,"บรรยายเห็นภาพ, บรรยายเห็นภาพชัดเจน",,hsk7
昏迷,"หมดสติ, สลบ",,hsk7
婚姻,"การแต่งงาน, ชีวิตสมรส",,hsk7
浑身,"ทั่วทั้งตัว, ทั้งตัว",,hsk7
魂,"วิญญาณ, จิตวิญญาณ",,hsk7
混凝土,คอนกรีต,,hsk7
混淆,"สับสน, ปะปนกัน, ทำให้สับสน",,hsk7
混浊,"ขุ่น, มัว, ไม่ใส",,hsk7
豁,"เปิด, แง้ม ; (คำวิเศษณ์) อย่างเต็มที่, อย่างสุดกำลัง",,hsk7
豁出去,"ตัดสินใจทำอย่างเต็มที่, ทุ่มสุดตัว",,hsk7
豁达,"ใจกว้าง, เปิดเผย, มองโลกในแง่ดี",,hsk7
活儿,"งาน, การทำงาน",,hsk7
活期,"ฝากประจำ, เงินฝากประจำ",,hsk7
火暴,"ร้อนแรง, ดุเดือด, รุนแรง",,hsk7
火候,"ระดับความร้อน, จังหวะ, จังหวะที่เหมาะสม",,hsk7
火花,"ประกายไฟ, ประกาย",,hsk7
火炬,"คบเพลิง, ไฟฉาย",,hsk7
火辣辣,"ร้อนแรง, เร่าร้อน",,hsk7
火热,"ร้อนระอุ, เร่าร้อน, ร้อนแรง",,hsk7
火山,ภูเขาไฟ,,hsk7
火速,"รวดเร็วปานสายฟ้า, เร็วมาก",,hsk7
火焰,"เปลวไฟ, เปลวเพลิง",,hsk7
火药,ดินปืน,,hsk7
伙食,"อาหาร, ค่าอาหาร",,hsk7
或多或少,"มากน้อย, ไม่มากก็น้อย",,hsk7
货币,"เงินตรา, สกุลเงิน",,hsk7
货车,รถบรรทุก,,hsk7
货物,"สินค้า, ข้าวของ",,hsk7
货运,"การขนส่งสินค้า, การขนส่ง",,hsk7
获胜,"ชนะ, ได้รับชัยชนะ",,hsk7
获悉,"ทราบ, รับทราบ",,hsk7
祸害,"ภัยพิบัติ, หายนะ, ตัวปัญหา",,hsk7
讥笑,"เยาะเย้ย, ถากถาง, หัวเราะเยาะ",,hsk7
饥饿,"ความหิวโหย, อดอยาก",,hsk7
机舱,"ห้องโดยสาร (เครื่องบิน, เรือ)",,hsk7
机动,"เคลื่อนที่ได้, ขับเคลื่อน, ยานยนต์",,hsk7
机灵,"ฉลาด, ปราดเปรียว, ว่องไว",,hsk7
机密,"ความลับ, ลับสุดยอด",,hsk7
机智,"มีไหวพริบ, ฉลาดแกมโกง",,hsk7
肌肤,"ผิวหนัง, เนื้อหนัง",,hsk7
迹象,"ร่องรอย, สัญญาณ, เคราะห์กรรม",,hsk7
积,"สะสม, กอง, ทับถม",,hsk7
积淀,"การตกตะกอน, การสะสม",,hsk7
积蓄,"เงินออม, การสะสม",,hsk7
基本功,"ทักษะพื้นฐาน, พื้นฐาน",,hsk7
基因,ยีน,,hsk7
基于,"อิงตาม, บนพื้นฐานของ",,hsk7
基准,"เกณฑ์มาตรฐาน, จุดอ้างอิง",,hsk7
畸形,"ความผิดปกติ, ความพิการ",,hsk7
激发,"กระตุ้น, ปลุกเร้า, จุดประกาย",,hsk7
激光,เลเซอร์,,hsk7
激化,"ทำให้รุนแรงขึ้น, ทำให้ตึงเครียด",,hsk7
激活,"เปิดใช้งาน, กระตุ้น",,hsk7
激励,"ให้กำลังใจ, กระตุ้น, ปลุกเร้า",,hsk7
激起,"ปลุกเร้า, ก่อให้เกิด, กระตุ้น",,hsk7
激素,ฮอร์โมน,,hsk7
